name,active,value_1,value_2,value_3,description_1,description_2,description_3,definition_1,definition_2,definition_3,source
EMERGENCY_MEDICAL_CARE: PATIENT_ASSESSMENT,TRUE,EMERGENCY_MEDICAL_CARE,PATIENT_ASSESSMENT,,Emergency Medical Care,Patient Assessment,,,,,
EMERGENCY_MEDICAL_CARE: PROVIDE_BASIC_LIFE_SUPPORT,TRUE,EMERGENCY_MEDICAL_CARE,PROVIDE_BASIC_LIFE_SUPPORT,,Emergency Medical Care,Provide Basic Life Support,,,,,
EMERGENCY_MEDICAL_CARE: PROVIDE_ADVANCED_LIFE_SUPPORT,TRUE,EMERGENCY_MEDICAL_CARE,PROVIDE_ADVANCED_LIFE_SUPPORT,,Emergency Medical Care,Provide Advanced Life Support,,,,,
EMERGENCY_MEDICAL_CARE: PROVIDE_TRANSPORT,TRUE,EMERGENCY_MEDICAL_CARE,PROVIDE_TRANSPORT,,Emergency Medical Care,Provide Transport,,,,,
EMERGENCY_MEDICAL_CARE: PATIENT_REFERRAL,TRUE,EMERGENCY_MEDICAL_CARE,PATIENT_REFERRAL,,Emergency Medical Care,Patient Referral,,,,,
COMMAND_AND_CONTROL: ESTABLISH_INCIDENT_COMMAND,TRUE,COMMAND_AND_CONTROL,ESTABLISH_INCIDENT_COMMAND,,Command And Control,Establish Incident Command,,,,,
COMMAND_AND_CONTROL: SAFETY_OFFICER_ASSIGNED,TRUE,COMMAND_AND_CONTROL,SAFETY_OFFICER_ASSIGNED,,Command And Control,Safety Officer Assigned,,,,,
COMMAND_AND_CONTROL: PIO_ASSIGNED,TRUE,COMMAND_AND_CONTROL,PIO_ASSIGNED,,Command And Control,PIO Assigned,,,,,
COMMAND_AND_CONTROL: NOTIFY_OTHER_AGENCIES,TRUE,COMMAND_AND_CONTROL,NOTIFY_OTHER_AGENCIES,,Command And Control,Notify Other Agencies,,,,,
COMMAND_AND_CONTROL: INCIDENT_ASSESSMENT_COMPLETED,TRUE,COMMAND_AND_CONTROL,INCIDENT_ASSESSMENT_COMPLETED,,Command And Control,Incident Assessment (360 Degree Visualization) Completed,,,,,
COMMAND_AND_CONTROL: ACCOUNTABILITY_OFFICER_ASSIGNED,TRUE,COMMAND_AND_CONTROL,ACCOUNTABILITY_OFFICER_ASSIGNED,,Command And Control,Accountability Officer Assigned,,,,,
FORCIBLE_ENTRY,TRUE,FORCIBLE_ENTRY,,,Forcible Entry,,,,,,
SUPPRESSION: STRUCTURAL_FIRE_SUPPRESSION: INTERIOR,TRUE,SUPPRESSION,STRUCTURAL_FIRE_SUPPRESSION,INTERIOR,Suppression,Structural_Fire_Suppression,Interior,,,,
SUPPRESSION: STRUCTURAL_FIRE_SUPPRESSION: EXTERIOR,TRUE,SUPPRESSION,STRUCTURAL_FIRE_SUPPRESSION,EXTERIOR,Suppression,Structural_Fire_Suppression,Exterior,,,,
SUPPRESSION: STRUCTURAL_FIRE_SUPPRESSION: EXTERIOR_AND_INTERIOR,TRUE,SUPPRESSION,STRUCTURAL_FIRE_SUPPRESSION,EXTERIOR_AND_INTERIOR,Suppression,Structural_Fire_Suppression,Exterior and Interior,,,,
SUPPRESSION: OUTSIDE_FIRE_SUPPRESSION: ESTABLISH FIRE LINES,TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,ESTABLISH FIRE LINES,Suppression,Outside_Fire_Suppression,Establish Fire Lines,,,,
SUPPRESSION: OUTSIDE_FIRE_SUPPRESSION: BACKBURN,TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,BACKBURN,Suppression,Outside_Fire_Suppression,Backburn,,,,
SUPPRESSION: OUTSIDE_FIRE_SUPPRESSION: CONFINEMENT,TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,CONFINEMENT,Suppression,Outside_Fire_Suppression,Confinement,,,,
SUPPRESSION: OUTSIDE_FIRE_SUPPRESSION: STRUCTURE_PROTECTION,TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,STRUCTURE_PROTECTION,Suppression,Outside_Fire_Suppression,Structure Protection,,,,
SUPPRESSION: OUTSIDE_FIRE_SUPPRESSION: FIRE_CONTROL_EXTINGUISHMENT,TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,FIRE_CONTROL_EXTINGUISHMENT,Suppression,Outside_Fire_Suppression,Fire Control / Extinguishment,,,,
SUPPRESSION: OUTSIDE_FIRE_SUPPRESSION: FIRE_RETARDANT_DROP,TRUE,SUPPRESSION,OUTSIDE_FIRE_SUPPRESSION,FIRE_RETARDANT_DROP,Suppression,Outside_Fire_Suppression,Fire Retardant Drop,,,,
CONTAINMENT: OUTSIDE_FIRE_SUPPRESSION: HAND_CREW_FUEL_BREAK,TRUE,CONTAINMENT,OUTSIDE_FIRE_SUPPRESSION,HAND_CREW_FUEL_BREAK,Containment,Outside_Fire_Suppression,Hand Crew Fuel Break,,,,
CONTAINMENT: OUTSIDE_FIRE_SUPPRESSION: DOZER_FUEL_BREAK,TRUE,CONTAINMENT,OUTSIDE_FIRE_SUPPRESSION,DOZER_FUEL_BREAK,Containment,Outside_Fire_Suppression,Dozer Fuel Break,,,,
VENTILATION: VERTICAL: PRIOR_TO_SUPPRESSION,TRUE,VENTILATION,VERTICAL,PRIOR_TO_SUPPRESSION,Ventilation,Vertical,Prior To Suppression,,,,
VENTILATION: VERTICAL: DURING_SUPPRESSION,TRUE,VENTILATION,VERTICAL,DURING_SUPPRESSION,Ventilation,Vertical,During Suppression,,,,
VENTILATION: VERTICAL: POST_SUPPRESSION,TRUE,VENTILATION,VERTICAL,POST_SUPPRESSION,Ventilation,Vertical,Post Suppression,,,,
VENTILATION: HORIZONTAL: PRIOR_TO_SUPPRESSION,TRUE,VENTILATION,HORIZONTAL,PRIOR_TO_SUPPRESSION,Ventilation,Horizontal,Prior To Suppression,,,,
VENTILATION: HORIZONTAL: DURING_SUPPRESSION,TRUE,VENTILATION,HORIZONTAL,DURING_SUPPRESSION,Ventilation,Horizontal,During Suppression,,,,
VENTILATION: HORIZONTAL: POST_SUPPRESSION,TRUE,VENTILATION,HORIZONTAL,POST_SUPPRESSION,Ventilation,Horizontal,Post Suppression,,,,
VENTILATION: POSITIVE_PRESSURE: PRIOR_TO_SUPPRESSION,TRUE,VENTILATION,POSITIVE_PRESSURE,PRIOR_TO_SUPPRESSION,Ventilation,Positive Pressure,Prior To Suppression,,,,
VENTILATION: POSITIVE_PRESSURE: DURING_SUPPRESSION,TRUE,VENTILATION,POSITIVE_PRESSURE,DURING_SUPPRESSION,Ventilation,Positive Pressure,During Suppression,,,,
VENTILATION: POSITIVE_PRESSURE: POST_SUPPRESSION,TRUE,VENTILATION,POSITIVE_PRESSURE,POST_SUPPRESSION,Ventilation,Positive Pressure,Post Suppression,,,,
VENTILATION: HYDRAULIC: PRIOR_TO_SUPPRESSION,TRUE,VENTILATION,HYDRAULIC,PRIOR_TO_SUPPRESSION,Ventilation,Hydraulic,Prior To Suppression,,,,
VENTILATION: HYDRAULIC: DURING_SUPPRESSION,TRUE,VENTILATION,HYDRAULIC,DURING_SUPPRESSION,Ventilation,Hydraulic,During Suppression,,,,
VENTILATION: HYDRAULIC: POST_SUPPRESSION,TRUE,VENTILATION,HYDRAULIC,POST_SUPPRESSION,Ventilation,Hydraulic,Post Suppression,,,,
SEARCH_STRUCTURE: DOOR_INITIATED_SEARCH: PRIOR_TO_SUPPRESSION,TRUE,SEARCH_STRUCTURE,DOOR_INITIATED_SEARCH,PRIOR_TO_SUPPRESSION,Search Structure,Door Initiated Search,Prior To Suppression,,,,
SEARCH_STRUCTURE: DOOR_INITIATED_SEARCH: DURING_SUPPRESSION,TRUE,SEARCH_STRUCTURE,DOOR_INITIATED_SEARCH,DURING_SUPPRESSION,Search Structure,Door Initiated Search,During Suppression,,,,
SEARCH_STRUCTURE: DOOR_INITIATED_SEARCH: POST_SUPPRESSION,TRUE,SEARCH_STRUCTURE,DOOR_INITIATED_SEARCH,POST_SUPPRESSION,Search Structure,Door Initiated Search,Post Suppression,,,,
SEARCH_STRUCTURE: WINDOW_INITIATED_SEARCH: PRIOR_TO_SUPPRESSION,TRUE,SEARCH_STRUCTURE,WINDOW_INITIATED_SEARCH,PRIOR_TO_SUPPRESSION,Search Structure,Window Initiated Search,Prior To Suppression,,,,
SEARCH_STRUCTURE: WINDOW_INITIATED_SEARCH: DURING_SUPPRESSION,TRUE,SEARCH_STRUCTURE,WINDOW_INITIATED_SEARCH,DURING_SUPPRESSION,Search Structure,Window Initiated Search,During Suppression,,,,
SEARCH_STRUCTURE: WINDOW_INITIATED_SEARCH: POST_SUPPRESSION,TRUE,SEARCH_STRUCTURE,WINDOW_INITIATED_SEARCH,POST_SUPPRESSION,Search Structure,Window Initiated Search,Post Suppression,,,,
NON_STRUCTURE_SEARCH: SEARCH_AREA_OF_COLLAPSE,TRUE,NON_STRUCTURE_SEARCH,SEARCH_AREA_OF_COLLAPSE,,Non Structure Search,Search Area of Collapse,,,,,
NON_STRUCTURE_SEARCH: SEARCH_UNDERGROUND_INFRASTRUCTURE,TRUE,NON_STRUCTURE_SEARCH,SEARCH_UNDERGROUND_INFRASTRUCTURE,,Non Structure Search,Search Underground Infrastructure (Cave / Mine),,,,,
NON_STRUCTURE_SEARCH: WIDE_AREA/OUTDOOR_SEARCH,TRUE,NON_STRUCTURE_SEARCH,WIDE_AREA/OUTDOOR_SEARCH,,Non Structure Search,Wide Area / Outdoor Search,,,,,
NON_STRUCTURE_SEARCH: SEARCH_WATERWAY,TRUE,NON_STRUCTURE_SEARCH,SEARCH_WATERWAY,,Non Structure Search,Search Waterway,,,,,
NON_STRUCTURE_SEARCH: BODY_RECOVERY,TRUE,NON_STRUCTURE_SEARCH,BODY_RECOVERY,,Non Structure Search,Body Recovery,,,,,
NON_STRUCTURE_SEARCH: USAR_K9_SEARCH,TRUE,NON_STRUCTURE_SEARCH,USAR_K9_SEARCH,,Non Structure Search,USAR K9 Search,,,,,
SALVAGE_AND_OVERHAUL,TRUE,SALVAGE_AND_OVERHAUL,,,Salvage And Overhaul,,,,,,
PERSONNEL_CONTAMINATION_REDUCTION: ON-SCENE_CONTAMINATION_REDUCTION,TRUE,PERSONNEL_CONTAMINATION_REDUCTION,ON-SCENE_CONTAMINATION_REDUCTION,,Personnel Contamination Reduction,On-Scene Contamination Reduction,,,,,
PERSONNEL_CONTAMINATION_REDUCTION: CLEAN_CAB_TRANSPORT,TRUE,PERSONNEL_CONTAMINATION_REDUCTION,CLEAN_CAB_TRANSPORT,,Personnel Contamination Reduction,Clean Cab Transport,,,,,
PERSONNEL_CONTAMINATION_REDUCTION: PPE_WASHED_POST-INCIDENT,TRUE,PERSONNEL_CONTAMINATION_REDUCTION,PPE_WASHED_POST-INCIDENT,,Personnel Contamination Reduction,PPE Washed Post-Incident,,,,,
HAZARDOUS_SITUATION_MITIGATION: TAKE_SAMPLES,TRUE,HAZARDOUS_SITUATION_MITIGATION,TAKE_SAMPLES,,Hazardous Situation Mitigation,Take Samples,,,,,
HAZARDOUS_SITUATION_MITIGATION: SPILL_CONTROL,TRUE,HAZARDOUS_SITUATION_MITIGATION,SPILL_CONTROL,,Hazardous Situation Mitigation,Spill Control,,,,,
HAZARDOUS_SITUATION_MITIGATION: LEAK_STOP,TRUE,HAZARDOUS_SITUATION_MITIGATION,LEAK_STOP,,Hazardous Situation Mitigation,Leak Stop,,,,,
HAZARDOUS_SITUATION_MITIGATION: REMOVE_HAZARD,TRUE,HAZARDOUS_SITUATION_MITIGATION,REMOVE_HAZARD,,Hazardous Situation Mitigation,Remove Hazard,,,,,
HAZARDOUS_SITUATION_MITIGATION: DECONTAMINATION,TRUE,HAZARDOUS_SITUATION_MITIGATION,DECONTAMINATION,,Hazardous Situation Mitigation,Decontamination,,,,,
HAZARDOUS_SITUATION_MITIGATION: ATMOSPHERIC_MONITORING_INTERIOR,TRUE,HAZARDOUS_SITUATION_MITIGATION,ATMOSPHERIC_MONITORING_INTERIOR,,Hazardous Situation Mitigation,Atmospheric Monitoring (Interior),,,,,
HAZARDOUS_SITUATION_MITIGATION: ATMOSPHERIC_MONITORING_EXTERIOR/FENCELINE,TRUE,HAZARDOUS_SITUATION_MITIGATION,ATMOSPHERIC_MONITORING_EXTERIOR/FENCELINE,,Hazardous Situation Mitigation,Atmospheric Monitoring (Exterior / Fenceline),,,,,
PROVIDE_EVACUATION_SUPPORT: CONNECTED_INTERIOR_SPACES,TRUE,PROVIDE_EVACUATION_SUPPORT,CONNECTED_INTERIOR_SPACES,,Provide Evacuation Support,Connected Interior Spaces,,,,,
